Line Description,Tran. Code,Tran. Description,User / ICBA Defined
CUSTOMER INFORMATION FILE,501,Appraisal Deposit Coll. - Cash,System
CUSTOMER INFORMATION FILE,502,Appraisal Deposit Coll. - Cheque,System
CUSTOMER INFORMATION FILE,503,Appraisal Deposit Coll. - Journal,System
CUSTOMER INFORMATION FILE,505,Appraisal Deposit Refund - Cheque,System
CUSTOMER INFORMATION FILE,506,Appraisal Deposit Refund - Journal,System
CUSTOMER INFORMATION FILE,509,Reversal Of Appraisal Deposit Collected,System
CUSTOMER INFORMATION FILE,771,Service Charge Collect By Cash,System
CUSTOMER INFORMATION FILE,801,Revalidate Voucher,System
CUSTOMER INFORMATION FILE,911,Print Teller Balance,System
CUSTOMER INFORMATION FILE,912,Print Address,System
FIXED DEPOSIT,101,Cash Deposit,System
FIXED DEPOSIT,102,Cheque Deposit Creating Cert.,System
FIXED DEPOSIT,103,Journal Deposit,System
FIXED DEPOSIT,105,House Cheque Deposit,System
FIXED DEPOSIT,106,Cheque Deposit Pending,System
FIXED DEPOSIT,108,Pending Cheque Clearance,System
FIXED DEPOSIT,151,Cash Deposit Pending,System
FIXED DEPOSIT,153,Cash Deposit Clearing,System
FIXED DEPOSIT,182,Force Clearance On Cheque,System
FIXED DEPOSIT,192,Auto Cheque Clearance,System
FIXED DEPOSIT,201,Cash Withdrawal,System
FIXED DEPOSIT,202,Cheque Withdrawal,System
FIXED DEPOSIT,203,Journal Withdrawal/Debit Advice,System
FIXED DEPOSIT,240,Close Account,System
FIXED DEPOSIT,243,Uplift UMA-3 Certificate,System
FIXED DEPOSIT,253,Pending Cash Reversal,System
FIXED DEPOSIT,262,Bank Commission Deduct From Cash,System
FIXED DEPOSIT,292,Bank Commission Charges,System
FIXED DEPOSIT,302,Cheque Return,System
FIXED DEPOSIT,306,Pending Cheque Return,System
FIXED DEPOSIT,309,Error Correction,System
FIXED DEPOSIT,401,Open Account,System
FIXED DEPOSIT,412,Lost Certificate,System
FIXED DEPOSIT,455,Update Unposted Transaction,System
FIXED DEPOSIT,509,Certificate Error Correction,System
FIXED DEPOSIT,510,Create New Certificate,System
FIXED DEPOSIT,511,Create New Certificate,System
FIXED DEPOSIT,512,Create From Renewal Certificate,System
FIXED DEPOSIT,514,Create From Partial Uplift Certificate,System
FIXED DEPOSIT,520,Renewals Certificate,System
FIXED DEPOSIT,531,Mature Uplift Certificate,System
FIXED DEPOSIT,532,Premature Uplift Certificate,System
FIXED DEPOSIT,540,Partial Uplift Certificate,System
FIXED DEPOSIT,550,Interest Withdrawal,System
FIXED DEPOSIT,551,Advance Interest Withdrawal,System
FIXED DEPOSIT,560,Void Certificate,System
FIXED DEPOSIT,570,Uplift UMA-3 Certificate,System
FIXED DEPOSIT,698,Prepaid Interest Reversed,System
FIXED DEPOSIT,699,Interest Accrual,System
FIXED DEPOSIT,777,Change Of Product Line and Type,System
FIXED DEPOSIT,778,Special Adjustment,System
FIXED DEPOSIT,801,Revalidate Voucher,System
FIXED DEPOSIT,802,Reprint Passbook,System
FIXED DEPOSIT,803,Revalidate Cheque,System
FIXED DEPOSIT,804,Reprint Bankers Cheque,System
FIXED DEPOSIT,805,Reprint Certificate,System
FIXED DEPOSIT,806,Print Auto Renewed Certificates,System
FIXED DEPOSIT,807,Reprint Passbook Cover,System
FIXED DEPOSIT,808,Reprint Debit/Credit Advice,System
FIXED DEPOSIT,809,Reprint Specimen Card,User
FIXED DEPOSIT,911,Print Certificate Balance,System
LOANS,101,Collection - Cash,System
LOANS,102,Collection - Cheque,System
LOANS,103,Collection - Journal,System
LOANS,111,Partial Redemption - Cash,System
LOANS,112,Partial Redemption - Cheque,System
LOANS,113,Partial Redemption - Journal,System
LOANS,131,Full Redemption - Cash,System
LOANS,132,Full Redemption - Cheque,System
LOANS,133,Full Redemption - Journal,System
LOANS,141,Manual Batch Master Coll - Cash,System
LOANS,142,Manual Batch Master Coll - Cheque,System
LOANS,143,Manual Batch Master Coll - Journal,System
LOANS,147,Salary Credit Payment Coll - Cash,System
LOANS,148,Salary Credit Payment Coll - Cheque,System
LOANS,149,Salary Credit Payment Coll - Journal,System
LOANS,309,Error Correction,System
LOANS,310,Error Correction on Batch,System
MONEY MARKET,102,CHEQUE DEPOSITS,System
MONEY MARKET,103,JOURNAL DEPOSITS,System
MONEY MARKET,192,CHEQUE CLEARANCE,System
MONEY MARKET,202,CHEQUE WITHDRAWAL,System
MONEY MARKET,203,JOURNAL WITHDRAWAL,System
MONEY MARKET,302,CHEQUE RETURN,System
MONEY MARKET,310,BUY EQUITY,System
MONEY MARKET,311,BUY EQUITY (VALUE DATE),System
MONEY MARKET,320,SELL EQUITY,System
MONEY MARKET,321,SELL EQUITY (VALUE DATE),System
MONEY MARKET,330,BONUS ISSUED,System
MONEY MARKET,340,RIGHTS ENTITLED,System
MONEY MARKET,350,BUY EQUITY,System
MONEY MARKET,351,BUY EQUITY (VALUE DATE),System
MONEY MARKET,360,SELL EQUITY,System
MONEY MARKET,361,SELL EQUITY (VALUE DATE),System
MONEY MARKET,370,RIGHTS TAKE UP,System
MONEY MARKET,380,PURCHASE OF RIGHTS,System
MONEY MARKET,381,RIGHTS PURCHASE(VALUE DATE),System
MONEY MARKET,390,SALES OF RIGHTS,System
MONEY MARKET,391,SALES OF RIGHTS(VALUE DATE),System
MONEY MARKET,401,ISSUE INSTRUMENT,System
